snapshot_id,captured_utc,captured_local,reporting_period,event,github_zip_downloads_cumulative,github_latest_tag,github_latest_zip_downloads_cumulative,website_zip_requests_period,update_feed_requests_period,website_visits_period,website_page_views_period,paypal_donation_count_period,paypal_gross_period,paypal_fees_refunds_period,paypal_net_period,kofi_donation_count_period,kofi_gross_period,kofi_fees_refunds_period,kofi_net_period,currency,discord_members,discord_members_approximate,discord_online_approximate,source,notes
20260812T030258Z,2026-08-12T03:02:58Z,2026-08-11T23:02:58-04:00,2026-08,Initial baseline after v5.0.1,43,v5.0.1,2,,,,,,,,,,,,,USD,3,true,2,GitHub Releases API and Discord invite API,Account-backed website update and donation metrics not yet available
20260812T031726Z,2026-08-12T03:17:26Z,2026-08-11T23:17:26-04:00,2026-08-05 through 2026-08-11,Cloudflare Web Analytics baseline,43,v5.0.1,2,,,133,143,,,,,,,,,USD,3,true,2,Cloudflare Web Analytics; GitHub Releases API; Discord invite API,"Cloudflare Last 7 days EDT; site scope star-launcher-website.pages.dev +2; bots excluded; exact ZIP and update-feed request counts unavailable in current dashboard"
